<ГЛАВА 1: НОВОБРАНЕЦ>          |1)Начать главу |1 | 
Ты кот из Туманного племени. <Твое имя - Харт>.*Коты племени Тумана двигаются бесшумно, словно туман или тень. Они горделивы и неприветливы, готовы напасть в любой момент, чтобы защитить свои земли.          |1)Продолжить |2 |
Туманное племя обитает неподалеку от заснеженных гор. Благодаря этому тебе и твоим соплеменникам не страшен <холод> и <мороз>.*Дичи возле гор обитает мало, поэтому приходиться концентрироваться во время охоты.          |1)Начать историю |3 |
<Время 8:43>*Ты сидел возле своего дома и подготавливался к собранию новобранцев. Ты решил немного перекусить яблоком и заметил, что у тебя еще есть время заняться другими делами. Или же стоит пойти сразу на собрание?          |1)Идти на собрание новобранцев 2)Прогуляться по территории племени 3)Увидеться с родителями |4 32 41 | 
Ты решил что не стоит тратить время и сразу отправился на собрание. Подходя ближе к <центру территории Туманного племени>, ты заметил как много молодых котов потихоньку приходят на собрание.*Ты решил что:          |1)Подойдёшь в центр вместе со всеми 2)Подождёшь в стороне начала собрания 3)Оглядишь террирорию центра |5 72 73 |
Уверенно ступая по земле ты идешь в центр вместе со всеми. Твое внимание привлекает <пьедестал> и <окружение> вокруг тебя. Молодые новобранцы толпятся и рассматривают пьедестал, кто - то знакомиться и общается между собой.          |1)Обратить внимание на пьедестал 2)Обратить внимание на других котов |6 86 | 
Пьедестал был выточен из большого и высокого серого камня. Будто кусок от заснеженной горы приволокли сюда и изваяли из него пьедестал. Рядом лежали камни поменьше, которые были изрисованы краской. Они были как украшение для пьедестала.*Неподалеку от тебя стояли два других молодых кота и что - то обсуждали.          |1)Прислушаться |7 |
<1 кот>: - Как думаешь, что нас ждет?*<2 кот>: - Не знаю, но мне больше интересна речь нашего лидера! Я бы тоже хотел постоять когда нибудь на этом пьедестале!*<1 кот>: - Наши друиды по воздуху перенесли этот камень сюда.*<2 кот>: - Да ну!*<1 кот>: - Ага, а после чего своими посохами изваяли пьедестал. А оставшиеся маленькие камни изрисовали краской и оставили как украшение.*<2 кот>: - Ты где это услышал?*<1 кот>: - В книге прочел. Называется "Как создавались племена".*Их разговор прервал звук рога.          |1)Обратить внимание |8 |
Ты оборачиваешься вместе со всеми новобранцами и понимаешь, что это был племенной глашатай - <Тео>. Звук рога означал что сейчас начнется собрание и на пьедестал выйдет лидер племени Тумана.*Тео посмотрел в твою сторону. Он машет тебе рукой, подмигивает и слегка кивает головой, давая понять что желает удачи.          |1)Помахать в ответ 2)Кивнуть в ответ 3)Проигнорировать Тео |9 75 76 |
Ты машешь Тео в ответ. После чего он разворачивается и уходит по своим делам.*На пьедестал гордо и утонченно выходит <Ваако> - правая рука лидера Туманного племени. Он медленно подходит к краю пьедестала и осматривает своим взглядом толпу новобранцев. Его желтые глаза, будто ослепляющее солнце смотрят в толпу.*Спокойным и монотонным голосом он произносит:*- Новобранцы! Я рад приветствовать Вас как новых героев нашего племени. Примите мои поздравления и пожелания успеха на этом пути!          |1)Осмотреть внешность Ваако 2)Продолжать слушать |10 12 |
Тебя заинтересовала внешность Ваако.*Серый кот был очень крупным и явно сильным. На морде виднелись небольшие шрамы оставшиеся после боев, а левое ухо было разорвано. Глаза были будто цвета солнца, яркие и слепящие.*Ваако был не полностью серым, на груди был белый воротник а так же его ноги были белыми до колен, с примесью серой шерсти. Кончик хвоста тоже был белым, будто его окунули в белую краску. Ваако имел седину на голове, которая распространялась по его ушам и стекала вниз по его серой морде. Сразу понимаешь, что Ваако уже не молод.*Когти на руках Ваако были большими и наточенными, будто толстые ножи.          |1)Осмотреть одежду Ваако 2)Продолжать слушать |11  12 |
Ваако носил легкую броню, почти как и все коты Туманного племени. Черный стеганый дублет с множеством поясов и завязок фиолетового цвета. Сверху был надет воротник с капюшоном черного цвета. Только по краям, тонкой фиолетовой нитью был вышит узор на капюшоне. Штаны сшитые из благородной черной ткани, с еле видным рисунком фиолетового цвета. Стопы ног были перебинтованы белой жесткой тканью, для удобства перемещения по местности во время боя или охоты.*На поясе висел короткий меч, а за спиной Ваако был лук. Его не было видно полностью, но по торчащему куску лука, можно было разглядеть что он изрядно украшен камнями.          |1)Продолжать слушать |12 |
- Надеюсь, Вы не жалеете о своем выборе и с гордостью будете нести звание героя Туманного племени. - сказал Ваако.*- Более подробно о Ваших обязанностях Вам расскажет Улль, мой сын и Ваш помощник на пути к становлению героя. А сейчас, я уступаю место нашему лидеру.*Ваако медленно отходит в сторону и становится в ожидании лидера.*Наступает мертвая тишина. Все замерли в ожидании <ее>. Друиды не громко постукивают в свои барабаны, создавая в воздухе напряжение. И вот, на пьедестале появляется лидер - <Тьяла>. Ее имя могли произносить только близкие ей коты, для остальных же, она была <Туманной Жрицей>.          |1)Продолжать слушать |13 |
- Новобранцы! - вскрикнула она. - Пусть Ваш путь будет во имя племени! Во имя силы и величия! Во имя Вашего лидера! Благославляю Вас, и с этим же приказываю быть стойкими перед любыми трудностями! В нашем племени не будет слабых! Только сильные герои и воины! - после этих слов Туманная Жрица замолкает.*Ты замечаешь как в ее темных, коричневых глазах проблескивает огонек величия. Все коты склоняют головы перед Туманной Жрицей. Ты покорно склоняешь голову и смотришь в землю.*Туманная Жрица склоняет голову в ответ и уходит с пьедестала. За ней уходит и Ваако.*Улль подзывает всех новобранцев к себе что бы начать тренировку.          |1)Подойти к Уллю |14 |
Ты шел сзади толпы и думал о том, что же ждет тебя на первой тренировке.*Вдруг все остановились. Ты услышал как Улль стал говорить: - Под моим руководством будет всего 10 котов! Сейчас я назову Ваши имена, а остальных прошу пройти к другим наставникам.*Ты внимательно слушал в какой отряд ты попадешь. И вот, Улль называет имена:*- Новобранцы <Малько>, <Хантер>, <Уна>, <Сивилл>, <Бьерд>, <Чед>, <Лорес>, <Ранн>, <Рауд>, <Харт>! Вы идете за мной.*Остальные пройдите к наставникам Кассу и Зигорду. Они распределят Вас.*Ты был рад что оказался в отряде у Улля. Быть под руководством сына Ваако большая честь.*Ты вместе с отрядом последовал за Уллем на холм, где проводили знакомство и первую тренировку отрядов.          |1)Следовать за Уллем |15 |
Идя вместе с отрядом по дороге к холму к тебе поближе подошел один из котов и очень жизнерадостно сказал: - Мое имя Сивилл! А тебя как зовут?*Ты повернул голову и увидел белого кота с широкой улыбкой на лице, который протягивал тебе свою руку при этом идя рядом с тобой.*Красивые длинные усы Сивилла колыхал ветер. Ярко голубые глаза смотрели на тебя с радостью и надеждой что ты ответишь взаимностью.          |1)Протянуть руку: - Моё имя Харт 2)Меня зовут Харт, приятно познакомится 3)Молча пожать руку |16 77 81 |
Сивилл с радостью пожал твою руку и сказал: - Приятно познакомиться!*Я так рад что оказался в отряде Улля! Ты кстати знаешь что наш отряд называется <Коготь>?*Ты помотал головой, давая понять что не слышал название отряда.*- О,а я услышал разговор Касса и Зигорда. Они говорили о названиях отряда. Кстати, отряд Касса называется <Шрам>, а Зигорда - <Лист>. - Сивилл заметил что говорит слишком много и остановился.*Вдруг он сказал: - Название нашего отряда мне нравится больше.          |1)Согласиться 2)Спросить, что Сивилл знает про другие отряды |17 78 |
Ты кивнул головой давая понять что согласен с тем, что название Вашего отряда звучит куда лучше других.*Все оставшееся время ты и Сивилл шли по дороге обсуждая разнообразные темы.          |1)Идти дальше |18 |
Когда вы подошли к месту, все начали выстраиваться в шеренгу. Ты и Сивилл были в самом конце.*Улль встал напротив шеренги и начал говорить: - Новобранцы! Я буду называть имя каждого из вас. Чье имя я произнесу, выйдет из шеренги и представиться.*Ты был немного напряжен и взволнован. Ты слышал как называют имена других котов, каждый из них выходил и представлялся другим. Вдруг, ты услышал свое имя.*- Новобранец Харт! - выкрикнул Улль.*Ты поторопился выйти из шеренги вперед.          |1)Выйти вперёд |19 |
Ты вышел вперед и почувствовал на себе взгляды других котов.*- Представься и поприветствуй тех, с кем будешь вместе обучаться, Харт. - спокойно сказал Улль.*Ты поприветствовал всех стоящих в шеренге новобранцев. Каждый осматривал тебя с интересом, особенно Сивилл который улыбался тебе и старался незаметно показать тебе большой палец.*- Меня зовут Харт. Я сын лекарши и одного из подчиненных Ваако. - сказал ты.*- Хорошо, хорошо. Вставай назад. - проговорил Улль.*Ты вернулся в шеренгу и следующим вызвали Сивилла, он был последним в шеренге.*- Представься и поприветствуй тех, с кем будешь вместе обучаться, Сивилл. - повторил снова Улль.*- Меня зовут Сивилл. Я сын лесника. Матери у меня нет, умерла от болезни. - спокойно сказал Сивилл.*Ты был удивлен тому, как спокойно говорит Сивилл о смерти своей матери.*Сивилл вернулся в шеренгу и встал рядом с тобой. Шепотом он сказал: - Не переживай, я спокойно отношусь к смерти. Мы ведь не бессмертны, Харт.*Ты кивнул Сивиллу в ответ.*Улль указал всем разделиться по двое для начала тренировки.          |1)Пойти с Сивиллом |20 |
